"deck","front","back","tags"
"DSA / LeetCode","128. Longest Consecutive Sequence — Med. (47.2%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/longest-consecutive-sequence

**Difficulty:** Med. | **Acceptance:** 47.2%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","1. Two Sum — Easy (58.1%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/two-sum

**Difficulty:** Easy | **Acceptance:** 58.1%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","3. Longest Substring Without Repeating Characters — Med. (39.9%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/longest-substring-without-repeating-characters

**Difficulty:** Med. | **Acceptance:** 39.9%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","5. Longest Palindromic Substring — Med. (38.5%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/longest-palindromic-substring

**Difficulty:** Med. | **Acceptance:** 38.5%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","133. Clone Graph — Med. (66.1%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/clone-graph

**Difficulty:** Med. | **Acceptance:** 66.1%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","261. Graph Valid Tree — Med. (50.1%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/graph-valid-tree

**Difficulty:** Med. | **Acceptance:** 50.1%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","647. Palindromic Substrings — Med. (73.2%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/palindromic-substrings

**Difficulty:** Med. | **Acceptance:** 73.2%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","11. Container With Most Water — Med. (60.7%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/container-with-most-water

**Difficulty:** Med. | **Acceptance:** 60.7%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","139. Word Break — Med. (49.8%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/word-break

**Difficulty:** Med. | **Acceptance:** 49.8%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","141. Linked List Cycle — Easy (55.0%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/linked-list-cycle

**Difficulty:** Easy | **Acceptance:** 55.0%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","268. Missing Number — Easy (72.6%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/missing-number

**Difficulty:** Easy | **Acceptance:** 72.6%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","15. 3Sum — Med. (39.8%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/3sum

**Difficulty:** Med. | **Acceptance:** 39.8%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","143. Reorder List — Med. (66.1%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/reorder-list

**Difficulty:** Med. | **Acceptance:** 66.1%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","269. Alien Dictionary — Hard (37.3%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/alien-dictionary

**Difficulty:** Hard | **Acceptance:** 37.3%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, hard, leetcode"
"DSA / LeetCode","271. Encode and Decode Strings — Med. (51.9%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/encode-and-decode-strings

**Difficulty:** Med. | **Acceptance:** 51.9%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","19. Remove Nth Node From End of List — Med. (52.5%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/remove-nth-node-from-end-of-list

**Difficulty:** Med. | **Acceptance:** 52.5%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","20. Valid Parentheses — Easy (44.8%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/valid-parentheses

**Difficulty:** Easy | **Acceptance:** 44.8%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","21. Merge Two Sorted Lists — Easy (68.8%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/merge-two-sorted-lists

**Difficulty:** Easy | **Acceptance:** 68.8%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","23. Merge k Sorted Lists — Hard (60.4%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/merge-k-sorted-lists

**Difficulty:** Hard | **Acceptance:** 60.4%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, hard, leetcode"
"DSA / LeetCode","152. Maximum Product Subarray — Med. (37.0%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/maximum-product-subarray

**Difficulty:** Med. | **Acceptance:** 37.0%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","153. Find Minimum in Rotated Sorted Array — Med. (55.2%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/find-minimum-in-rotated-sorted-array

**Difficulty:** Med. | **Acceptance:** 55.2%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","33. Search in Rotated Sorted Array — Med. (45.5%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/search-in-rotated-sorted-array

**Difficulty:** Med. | **Acceptance:** 45.5%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","417. Pacific Atlantic Water Flow — Med. (61.4%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/pacific-atlantic-water-flow

**Difficulty:** Med. | **Acceptance:** 61.4%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","39. Combination Sum — Med. (77.1%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/combination-sum

**Difficulty:** Med. | **Acceptance:** 77.1%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","295. Find Median from Data Stream — Hard (54.9%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/find-median-from-data-stream

**Difficulty:** Hard | **Acceptance:** 54.9%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, hard, leetcode"
"DSA / LeetCode","297. Serialize and Deserialize Binary Tree — Hard (61.1%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/serialize-and-deserialize-binary-tree

**Difficulty:** Hard | **Acceptance:** 61.1%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, hard, leetcode"
"DSA / LeetCode","424. Longest Repeating Character Replacement — Med. (60.5%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/longest-repeating-character-replacement

**Difficulty:** Med. | **Acceptance:** 60.5%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","300. Longest Increasing Subsequence — Med. (59.9%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/longest-increasing-subsequence

**Difficulty:** Med. | **Acceptance:** 59.9%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
